r-ID	Equation in HC-ID	Equation with names	Reaction Category	dG	KEGG	Recon1	References
r0264	HC00334_m + HC00035_m <=> HC00034_m + HC01123_m	Isoleucine(m) + AKG(m) <=> Glutamate(m) + 2-Oxo-3-methylvalerate(m)	EC:2.6.1.42	4.45	R01090	 ILETAm	PMID:12234469 PMID:12504794 PMID:8938168 PMID:9681479 PMID:974100
r0265	HC00012_c + HC00122_c --> HC00018_c + HC01111_c	ATP(c) + Galactose(c) --> ADP(c) + Galactose-1P(c)	EC:2.7.1.6	-18.8406	R01092	 	PMID:8908517
r0266	HC00220_s + HC00011_s <=> HC00040_s + HC00122_s	Lactose(s) + H2O(s) <=> Glucose(s) + Galactose(s)	EC:3.2.1.23 EC:3.2.1.108	-20.31	R01100	 LACZe	PMID:6786877
r0267	HC00126_c + HC00017_c + HC00014_c <=> HC01162_c + HC00013_c + HC00011_c	CMP-N-acetylneuraminate(c) + O2(c) + NADH(c) <=> CMP-NeuNGc(c) + NAD+(c) + H2O(c)	EC:1.14.18.2	-425.67	R01115	 	PMID:11211935 PMID:2249689 PMID:8112313
r0268	HC00126_c + HC00017_c + HC00015_c <=> HC01162_c + HC00011_c + HC00016_c	CMP-N-acetylneuraminate(c) + O2(c) + NADPH(c) <=> CMP-NeuNGc(c) + H2O(c) + NADP+(c)	EC:1.14.18.2	-425.67	R01116	 	PMID:10052592 PMID:1964451 PMID:2249689
r0269	HC00066_n + HC00244_n <=> HC00023_n + HC00126_n	CTP(n) + N-Acetylneuraminate(n) <=> PPi(n) + CMP-N-acetylneuraminate(n)	EC:2.7.7.43	-14.3607	R01117	 CMPSASn	PMID:6084482 PMID:9689047
r0270	HC00012_p + HC00685_p <=> HC00021_p + HC00127_p + HC00018_p + HC00019_p	ATP(p) + (R)-5-Diphosphomevalonate(p) <=> CO2(p) + Isopentenyl-PP(p) + ADP(p) + Pi(p)	EC:4.1.1.33	-32.6738	R01121	 DPMVDx	PMID:11108725 PMID:12121718 PMID:12520181 PMID:12736493 PMID:12913254 PMID:14972328 PMID:15467276 PMID:17180682 PMID:8626466 PMID:9375384
r0271	HC00127_p <=> HC00213_p	Isopentenyl-PP(p) <=> Dimethylallyl-PP(p)	EC:5.3.3.2	2.76329	R01123	 IPDDIx	PMID:11108725 PMID:12121718 PMID:17180682 PMID:8806705
r0272	HC00128_c + HC00011_c --> HC00255_c + HC00019_c	IMP(c) + H2O(c) --> Inosine(c) + Pi(c)	EC:3.1.3.5	-12.92	R01126	 NTD11	PMID:11690631 PMID:7999131
r0273	HC00128_c + HC00011_c <=> HC01344_c	IMP(c) + H2O(c) <=> FAICAR(c)	EC:3.5.4.10	-10.8145	R01127	 IMPC	PMID:8567683 PMID:9332377
r0274	HC00128_c + HC00013_c + HC00011_c --> HC00478_c + HC00014_c	IMP(c) + NAD+(c) + H2O(c) --> Xanthosine-5P(c) + NADH(c)	EC:1.1.1.205	6.60258	R01130	 IMPD	PMID:4371273
r0275	HC00128_c + HC00023_c <=> HC00238_c + HC00117_c	IMP(c) + PPi(c) <=> Hypoxanthine(c) + PRPP(c)	EC:2.4.2.8	35.72	R01132	 -HXPRT	PMID:16861950
r0276	HC00128_c + HC00024_c + HC00016_c <=> HC00141_c + HC00015_c	IMP(c) + NH3(c) + NADP+(c) <=> GMP(c) + NADPH(c)	EC:1.7.1.7	43.7939	R01134	 	PMID:12009299 PMID:12669231
r0277	HC00051_c + HC00128_c + HC00055_c --> HC00043_c + HC00019_c + HC01183_c	GTP(c) + IMP(c) + Aspartate(c) --> GDP(c) + Pi(c) + Adenylosuccinate(c)	EC:6.3.4.4	-10.8606	R01135	 	PMID:1592113
r0278	HC00012_c + HC00192_c <=> HC00018_c + HC00129_c	ATP(c) + dADP(c) <=> ADP(c) + dATP(c)	EC:2.7.4.6	0	R01137	 NDPK8	PMID:11768308
r0279	HC00012_m + HC00192_m <-- HC00018_m + HC00129_m	ATP(m) + dADP(m) <-- ADP(m) + dATP(m)	EC:2.7.4.6	0	R01137	 NDPK8m	PMID:11768308
r0280	HC00032_c + HC00129_c <-- HC00192_c + HC00076_c	Pyruvate(c) + dATP(c) <-- dADP(c) + PEP(c)	EC:2.7.1.40	25.78	R01138	 	PMID:1009117 PMID:7154942
r0281	HC00132_s + HC00017_s + HC00011_s <=> HC00036_s + HC00428_s + HC00024_s	Putrescine(s) + O2(s) + H2O(s) <=> H2O2(s) + 4-Aminobutanal(s) + NH3(s)	EC:1.4.3.6	-100.578	R01151	 	PMID:12072962 PMID:15795708 PMID:17006978 PMID:6403048
r0282	HC00011_m + HC00171_m <=> HC00132_m + HC00089_m	H2O(m) + Agmatine(m) <=> Putrescine(m) + Urea(m)	EC:3.5.3.11	-16.3411	R01157	 AGMTm	PMID:11804860 PMID:14648699
r0283	HC00012_c + HC00133_c + HC00100_c --> HC00030_c + HC00023_c + HC00321_c	ATP(c) + Histidine(c) + beta-Alanine(c) --> AMP(c) + PPi(c) + Carnosine(c)	EC:6.3.2.11	-32.5733	R01164	 	PMID:448355 PMID:487087
r0284	HC00321_c + HC00011_c --> HC00100_c + HC00133_c	Carnosine(c) + H2O(c) --> beta-Alanine(c) + Histidine(c)	EC:3.4.13.3	-1.93849	R01166	 NBAHH_ir	PMID:2334521 PMID:4026801
r0285	HC00133_c <=> HC00323_c + HC00021_c	Histidine(c) <=> Histamine(c) + CO2(c)	EC:4.1.1.28	-12.9372	R01167	 HISDC	PMID:11513473 PMID:6778871
r0286	HC00133_c <=> HC00534_c + HC00024_c	Histidine(c) <=> Urocanate(c) + NH3(c)	EC:4.3.1.3	-0.795492	R01168	 HISD	PMID:9432011
r0287	HC00033_m + HC00134_m <-- HC00020_m + HC01408_m	Acetyl-CoA(m) + Butyryl-CoA(m) <-- CoA(m) + 3-Oxohexanoyl-CoA(m)	EC:2.3.1.16	29.5421	R01177	 	PMID:10806397 PMID:1121274 PMID:1679347 PMID:1735445 PMID:1979337 PMID:2048733 PMID:3194209 PMID:6378901 PMID:8241273
r0288	HC00135_c + HC00017_c --> HC00011_c + HC00182_c	Inositol(c) + O2(c) --> H2O(c) + Glucuronate(c)	EC:1.13.99.1	-467.569	R01184	 INOSTO	PMID:15504367 PMID:2226462 PMID:6822903
r0289	HC00698_c + HC00011_c --> HC00135_c + HC00019_c	Inositol-1P(c) + H2O(c) --> Inositol(c) + Pi(c)	EC:3.1.3.25	-9.70082	R01185	 MI1PP	PMID:1319157 PMID:2829849 PMID:2906139 PMID:2999094
r0290	HC00012_c + HC00138_c --> HC00018_c + HC00303_c	ATP(c) + N-Acetylglucosamine(c) --> ADP(c) + N-Acetylglucosamine-6P(c)	EC:2.7.1.59	-18.8406	R01201	 ACGAMK	PMID:10824116 PMID:9523722
r0291	HC00138_c <=> HC00474_c	N-Acetylglucosamine(c) <=> N-Acetyl-D-mannosamine(c)	EC:5.1.3.8	0	R01207	 ACGAM2E	PMID:10502668 PMID:11098137 PMID:3977862 PMID:3995085 PMID:6303311 PMID:9990133
r0292	HC00140_m + HC00013_m <=> HC00360_m + HC00014_m	5,10-Methylene-THF(m) + NAD+(m) <=> 5,10-Methenyl-THF(m) + NADH(m)	EC:1.5.1.15	8.03866	R01218	 MTHFD2m	PMID:12024029 PMID:1392622 PMID:16171773 PMID:3258307 PMID:8218174
r0293	HC00140_c + HC00016_c <=> HC00360_c + HC00015_c	5,10-Methylene-THF(c) + NADP+(c) <=> 5,10-Methenyl-THF(c) + NADPH(c)	EC:1.5.1.5	8.03866	R01220	 MTHFD	PMID:12937168 PMID:14597174 PMID:15033905 PMID:16171773 PMID:23838 PMID:3053686 PMID:8218174
r0294	HC00140_m + HC00016_m <=> HC00360_m + HC00015_m	5,10-Methylene-THF(m) + NADP+(m) <=> 5,10-Methenyl-THF(m) + NADPH(m)	EC:1.5.1.5	8.03866	R01220	 MTHFDm	PMID:12937168 PMID:14597174 PMID:15033905 PMID:16171773 PMID:23838 PMID:3053686 PMID:8218174
r0295	HC00045_m + HC00102_m + HC00013_m <-- HC00140_m + HC00021_m + HC00014_m + HC00024_m	Glycine(m) + THF(m) + NAD+(m) <-- 5,10-Methylene-THF(m) + CO2(m) + NADH(m) + NH3(m)	EC:2.1.2.10	8.75041	R01221	 	PMID:7916605
r0296	HC00358_c + HC00016_c <=> HC00140_c + HC00015_c	5-Methyl-THF(c) + NADP+(c) <=> 5,10-Methylene-THF(c) + NADPH(c)	EC:1.5.1.20	15.868	R01224	 	PMID:7920641
r0297	HC00141_c + HC00011_c --> HC00019_c + HC00322_c	GMP(c) + H2O(c) --> Pi(c) + Guanosine(c)	EC:3.1.3.5	-12.88	R01227	 NTD9	PMID:10899995
r0298	HC00141_s + HC00011_s --> HC00019_s + HC00322_s	GMP(s) + H2O(s) --> Pi(s) + Guanosine(s)	EC:3.1.3.5	-12.88	R01227	 NTD9e	PMID:10899995
r0299	HC00012_m + HC00322_m <-- HC00018_m + HC00141_m	ATP(m) + Guanosine(m) <-- ADP(m) + GMP(m)	EC:2.7.1.73	-26.28	R01228	 GSNKm	
r0300	HC00141_c + HC00023_c <=> HC00219_c + HC00117_c	GMP(c) + PPi(c) <=> Guanine(c) + PRPP(c)	EC:2.4.2.8	35.77	R01229	 -GUAPRT	PMID:15178494 PMID:17081813 PMID:7402756
r0301	HC00012_c + HC00478_c + HC00024_c --> HC00030_c + HC00023_c + HC00141_c	ATP(c) + Xanthosine-5P(c) + NH3(c) --> AMP(c) + PPi(c) + GMP(c)	EC:6.3.4.1	2.67955	R01230	 	PMID:6260205 PMID:6698284 PMID:7559506 PMID:7706277 PMID:8089153
r0302	HC00012_c + HC00478_c + HC00067_c + HC00011_c --> HC00030_c + HC00023_c + HC00141_c + HC00034_c	ATP(c) + Xanthosine-5P(c) + Glutamine(c) + H2O(c) --> AMP(c) + PPi(c) + GMP(c) + Glutamate(c)	EC:6.3.5.2	-48.57	R01231	 	PMID:3436958 PMID:6260205 PMID:8089153
r0303	HC00011_c + HC00592_c --> HC00141_c	H2O(c) + cGMP(c) --> GMP(c)	EC:3.1.4.17 EC:3.1.4.35	-38.9079	R01234	 PDE4	PMID:14604994
r0304	HC00145_c + HC00013_c <=> HC01199_c + HC00014_c	Proline(c) + NAD+(c) <=> 1-Pyrroline-5-carboxylate(c) + NADH(c)	EC:1.5.1.2	-4.14493	R01248	 	PMID:12376638 PMID:12514185 PMID:16730026 PMID:3768405 PMID:6250440 PMID:9003320
r0305	HC00145_c + HC00016_c <=> HC01199_c + HC00015_c	Proline(c) + NADP+(c) <=> 1-Pyrroline-5-carboxylate(c) + NADPH(c)	EC:1.5.1.2	-4.14493	R01251	 	PMID:12514185 PMID:2722838 PMID:3768405 PMID:6250440
r0306	HC00023_c + HC00366_c <=> HC00149_c + HC00117_c	PPi(c) + Nicotinamide_D-ribonucleotide(c) <=> Nicotinamide(c) + PRPP(c)	EC:2.4.2.12	0.293076	R01271	 -NMNS	PMID:12555668 PMID:1443581 PMID:14612543 PMID:4344987 PMID:6176238
r0307	HC00150_p + HC00011_p <-- HC00020_p + HC00226_p	Palmitoyl-CoA(p) + H2O(p) <-- CoA(p) + Palmitate(p)	EC:3.1.2.22 EC:3.1.2.2	-24.1034	R01274	 PTE2x	PMID:10092594 PMID:6151837
r0308	HC01986_p + HC00011_p <-- HC00020_p + HC00202_p	Arachidonyl-CoA(p) + H2O(p) <-- CoA(p) + Arachidonate(p)	EC:3.1.2.22 EC:3.1.2.2	-24.1034	R01274	 	PMID:10092594 PMID:6151837
r0309	HC00150_m + HC00016_m <=> HC01411_m + HC00015_m	Palmitoyl-CoA(m) + NADP+(m) <=> (2E)-Hexadecenoyl-CoA(m) + NADPH(m)	EC:1.3.1.38	69.2915	R01278	 	PMID:12654921
r0310	HC00150_m + HC00329_m --> HC01411_m + HC00324_m	Palmitoyl-CoA(m) + Ubiquinone(m) --> (2E)-Hexadecenoyl-CoA(m) + Ubiquinol(m)	EC:1.3.3.6 EC:1.3.99.3	53.59	R01279	 	PMID:17603022 PMID:6240978 PMID:7876265 PMID:1774065 PMID:3597357
r0311	HC00226_r + HC00012_r + HC00020_r --> HC00150_r + HC00030_r + HC00023_r	Palmitate(r) + ATP(r) + CoA(r) --> Palmitoyl-CoA(r) + AMP(r) + PPi(r)	EC:6.2.1.3	-10.4084	R01280	 	PMID:8584017
r0312	HC00226_c + HC00012_c + HC00020_c --> HC00150_c + HC00030_c + HC00023_c	Palmitate(c) + ATP(c) + CoA(c) --> Palmitoyl-CoA(c) + AMP(c) + PPi(c)	EC:6.2.1.3	-10.4084	R01280	 FACOAL160i	PMID:8584017
r0313	HC00068_c + HC00150_c <=> HC01019_c + HC00020_c + HC00021_c	Serine(c) + Palmitoyl-CoA(c) <=> 3-Dehydrosphinganine(c) + CoA(c) + CO2(c)	EC:2.3.1.50	9.02674	R01281	 SERPT	PMID:12704216 PMID:1317856
r0314	HC00068_c + HC00151_c <=> HC00011_c + HC00916_c	Serine(c) + Homocysteine(c) <=> H2O(c) + L-Cystathionine(c)	EC:4.2.1.22	-23.7517	R01290	 CYSTS	PMID:681363
r0315	HC00153_c <=> HC00266_c	Citrate(c) <=> Isocitrate(c)	EC:4.2.1.3	6.65	R01324	 ACONT	PMID:15263083 PMID:16511074
r0316	HC00153_m <=> HC00266_m	Citrate(m) <=> Isocitrate(m)	EC:4.2.1.3	6.65	R01324	 ACONTm	PMID:15263083 PMID:16511074
r0317	HC00153_m <=> HC00342_m + HC00011_m	Citrate(m) <=> cis-Aconitate(m) + H2O(m)	EC:4.2.1.4	6.16716	R01325	 	PMID:15263083 PMID:16511074
r0318	HC00012_c + HC00158_c <=> HC00023_c + HC01668_c	ATP(c) + Propanoate(c) <=> PPi(c) + Propinol_adenylate(c)	Enzyme catalyzed	92.5283	R01354	 	PMID:10843999 PMID:1924964 PMID:2009071 PMID:2884217 PMID:7341659
r0319	HC00012_m + HC00158_m <=> HC00023_m + HC01668_m	ATP(m) + Propanoate(m) <=> PPi(m) + Propinol_adenylate(m)	Enzyme catalyzed	92.5283	R01354	 	PMID:10843999 PMID:1924964 PMID:2009071 PMID:2884217 PMID:7341659
r0320	HC00012_c + HC00020_c + HC00159_c --> HC00030_c + HC00023_c + HC00282_c	ATP(c) + CoA(c) + Acetoacetate(c) --> AMP(c) + PPi(c) + Acetoacetyl-CoA(c)	EC:6.2.1.16	1.3	R01357	 AACOAT	PMID:4073493
r0321	HC00012_m + HC00020_m + HC00159_m --> HC00030_m + HC00023_m + HC00282_m	ATP(m) + CoA(m) + Acetoacetate(m) --> AMP(m) + PPi(m) + Acetoacetyl-CoA(m)	EC:6.2.1.16	1.3	R01357	 	PMID:4073493
r0322	HC00302_m <=> HC00033_m + HC00159_m	HMG-CoA(m) <=> Acetyl-CoA(m) + Acetoacetate(m)	EC:4.1.3.4	2.97263	R01360	 HMGLm	PMID:164460 PMID:8440722
r0323	HC00013_m + HC00661_m <=> HC00014_m + HC00159_m	NAD+(m) + (R)-3-Hydroxybutanoate(m) <=> NADH(m) + Acetoacetate(m)	EC:1.1.1.30	15.7424	R01361	 BDHm	PMID:1639787 PMID:3355176 PMID:3705199 PMID:475768 PMID:719045 PMID:7686368 PMID:8608144 PMID:8679568
r0324	HC00120_c + HC00159_c <=> HC00648_c + HC00011_c	Fumarate(c) + Acetoacetate(c) <=> Fumarylacetoacetate(c) + H2O(c)	EC:3.7.1.2	53.6455	R01364	 -FUMAC	PMID:8364576
r0325	HC00159_m <=> HC00021_m + HC00193_m	Acetoacetate(m) <=> CO2(m) + Acetone(m)	EC:4.1.1.4	-32.3221	R01366	 ADCim	PMID:4076528 PMID:4624981 PMID:963888
r0326	HC00162_r --> HC00181_r + HC00021_r	UDP-glucuronate(r) --> UDP-xylose(r) + CO2(r)	EC:4.1.1.35	-5.40097	R01384	 UDPGLDCg	PMID:11877387
r0327	HC00235_c + HC00016_c <-- HC00163_c + HC00015_c	Glycerate(c) + NADP+(c) <-- Hydroxypyruvate(c) + NADPH(c)	EC:1.1.1.81	28.98	R01392	 -HPYRRy	PMID:2689175 PMID:4835376 PMID:8120891 PMID:9463747
r0328	HC00164_c + HC00055_c --> HC00019_c + HC00356_c	Carbamoyl-P(c) + Aspartate(c) --> Pi(c) + N-Carbamoyl-L-aspartate(c)	EC:2.1.3.2	-37.6142	R01397	 ASPCTr	PMID:13319326 PMID:29209
r0329	HC00164_m + HC00079_m <=> HC00019_m + HC00277_m	Carbamoyl-P(m) + Ornithine(m) <=> Pi(m) + Citrulline(m)	EC:2.1.3.3	-37.6142	R01398	 	PMID:12788037 PMID:893420
r0330	HC00582_c + HC00013_c <-- HC00170_c + HC00014_c	Dihydrothymine(c) + NAD+(c) <-- Thymine(c) + NADH(c)	EC:1.3.1.1	26.5024	R01414	 	PMID:1260500 PMID:8615641
r0331	HC00582_m + HC00013_m <-- HC00170_m + HC00014_m	Dihydrothymine(m) + NAD+(m) <-- Thymine(m) + NADH(m)	EC:1.3.1.1	26.5024	R01414	 	PMID:1260500 PMID:8615641
r0332	HC00582_c + HC00016_c <-- HC00170_c + HC00015_c	Dihydrothymine(c) + NADP+(c) <-- Thymine(c) + NADPH(c)	EC:1.3.1.2	26.5024	R01415	 DURAD2	PMID:15450176
r0333	HC00178_r + HC00016_r <=> HC00693_r + HC00015_r	Cholesterol(r) + NADP+(r) <=> Provitamin_D3(r) + NADPH(r)	EC:1.3.1.21	43.124	R01456	 -DHCR72r	PMID:15670717 PMID:7946524 PMID:9465114
r0334	HC00178_r + HC00016_r <=> HC00015_r + HC00847_r	Cholesterol(r) + NADP+(r) <=> NADPH(r) + Desmosterol(r)	EC:1.3.1.72	10	R01457	 	PMID:15670717 PMID:7946524 PMID:9465114
r0335	HC00178_r + HC00017_r + HC00015_r <=> HC01146_r + HC00011_r + HC00016_r	Cholesterol(r) + O2(r) + NADPH(r) <=> 7alpha-Hydroxycholesterol(r) + H2O(r) + NADP+(r)	EC:1.14.13.17	-402.714	R01463	 CH25H	PMID:1591235 PMID:2106520 PMID:7288293
r0336	HC00012_c + HC00180_c --> HC00018_c + HC00293_c	ATP(c) + Ethanolamine(c) --> ADP(c) + Ethanolamine-P(c)	EC:2.7.1.82	-18.8406	R01468	 ETHAK	PMID:216713 PMID:9370318
r0337	HC00012_c + HC00186_c <=> HC00018_c + HC00214_c	ATP(c) + 3PG(c) <=> ADP(c) + 1,3DPG(c)	EC:2.7.2.3	8.27	R01512	 PGK	PMID:367367 PMID:4203909 UNIPROT:P00558
r0338	HC00186_c + HC00013_c --> HC01082_c + HC00014_c	3PG(c) + NAD+(c) --> 3-Phosphonooxypyruvate(c) + NADH(c)	EC:1.1.1.95	30.71	R01513	 PGCD	PMID:14645240
r0339	HC00012_c + HC00235_c --> HC00018_c + HC00186_c	ATP(c) + Glycerate(c) --> ADP(c) + 3PG(c)	EC:2.7.1.31	-24.61	R01514	 	PMID:16753811 PMID:216417 PMID:2537226 PMID:6252205
r0340	HC00012_m + HC00235_m --> HC00018_m + HC00186_m	ATP(m) + Glycerate(m) --> ADP(m) + 3PG(m)	EC:2.7.1.31	-24.61	R01514	 	PMID:16753811 PMID:216417 PMID:2537226 PMID:6252205
r0341	HC00463_c <=> HC00186_c	2PG(c) <=> 3PG(c)	EC:5.4.2.1	-6.06	R01518	 PGM	PMID:2840859 PMID:6322090 PMID:9688259
r0342	HC00292_r + HC00016_r <=> HC00015_r + HC00021_r + HC00188_r	6-Phospho-D-gluconate(r) + NADP+(r) <=> NADPH(r) + CO2(r) + Ribulose-5P(r)	EC:1.1.1.44	2.80516	R01528	 GNDer	PMID:12398160 PMID:1504088 PMID:15558954 PMID:16756494 PMID:2753047 PMID:3943305 PMID:6212636 PMID:7194116 PMID:7225115 PMID:7623792
r0343	HC00292_c + HC00016_c <=> HC00015_c + HC00021_c + HC00188_c	6-Phospho-D-gluconate(c) + NADP+(c) <=> NADPH(c) + CO2(c) + Ribulose-5P(c)	EC:1.1.1.44	2.80516	R01528	 GND	PMID:12398160 PMID:1504088 PMID:15558954 PMID:16756494 PMID:2753047 PMID:3943305 PMID:6212636 PMID:7194116 PMID:7225115 PMID:7623792
r0344	HC00188_c <=> HC00209_c	Ribulose-5P(c) <=> D-Xylulose-5P(c)	EC:5.1.3.1	0	R01529	 RPE	PMID:15234337 PMID:234468 PMID:2843500
r0345	HC00012_c + HC00304_c <=> HC00018_c + HC00192_c	ATP(c) + dAMP(c) <=> ADP(c) + dADP(c)	EC:2.7.4.11	-2.29	R01547	 	PMID:11768308
r0346	HC00011_c + HC00196_c <=> HC00255_c + HC00024_c	H2O(c) + Adenosine(c) <=> Inosine(c) + NH3(c)	EC:3.5.4.4	-35.5166	R01560	 ADA	PMID:15016824
r0347	HC00011_s + HC00196_s <=> HC00255_s + HC00024_s	H2O(s) + Adenosine(s) <=> Inosine(s) + NH3(s)	EC:3.5.4.4	-35.5166	R01560	 ADAe	PMID:15016824
r0348	HC00012_c + HC00198_c --> HC00018_c + HC00308_c	ATP(c) + Thymidine(c) --> ADP(c) + dTMP(c)	EC:2.7.1.21	-18.8406	R01567	 TMDK1	PMID:1063125 PMID:14519855 PMID:3457791
r0349	HC00012_m + HC00198_m --> HC00018_m + HC00308_m	ATP(m) + Thymidine(m) --> ADP(m) + dTMP(m)	EC:2.7.1.21	-18.8406	R01567	 TMDK1m	PMID:1063125 PMID:14519855 PMID:3457791
r0350	HC00308_c + HC00011_c --> HC00198_c + HC00019_c	dTMP(c) + H2O(c) --> Thymidine(c) + Pi(c)	EC:3.1.3.5 EC:3.1.3.35	-9.70082	R01569	 NTD5	PMID:14235544 PMID:15262124 PMID:15990964
r0351	HC00308_m + HC00011_m --> HC00198_m + HC00019_m	dTMP(m) + H2O(m) --> Thymidine(m) + Pi(m)	EC:3.1.3.5 EC:3.1.3.35	-9.70082	R01569	 NTD5m	PMID:14235544 PMID:15262124 PMID:15990964
r0352	HC00198_c + HC00019_c <=> HC00170_c + HC00489_c	Thymidine(c) + Pi(c) <=> Thymine(c) + 2-Deoxy-D-ribose-1P(c)	EC:2.4.2.4	6.63189	R01570	 TMDPP	PMID:15262124 PMID:15990964
r0353	HC00040_c + HC00012_c --> HC00094_c + HC00018_c	Glucose(c) + ATP(c) --> Glucose-6P(c) + ADP(c)	EC:2.7.1.1	-28.03		 HEX1	PMID:16906315 PMID:7061426 PMID:7150652 PMID:8717435
r0354	HC00040_c + HC00084_c --> HC00094_c + HC00104_c	Glucose(c) + ITP(c) --> Glucose-6P(c) + IDP(c)	EC:2.7.1.1	-28.03		 	PMID:16906315 PMID:7061426 PMID:7150652 PMID:8717435
r0355	HC00040_c + HC00129_c --> HC00094_c + HC00192_c	Glucose(c) + dATP(c) --> Glucose-6P(c) + dADP(c)	EC:2.7.1.1	-28.03		 	PMID:16906315 PMID:7061426 PMID:7150652 PMID:8717435
r0356	HC00097_c + HC00012_c --> HC00088_c + HC00018_c	Fructose(c) + ATP(c) --> Fructose-6P(c) + ADP(c)	EC:2.7.1.1	-28.03		 HEX7	PMID:16906315 PMID:7061426 PMID:7150652 PMID:8717435
r0357	HC00097_c + HC00084_c --> HC00088_c + HC00104_c	Fructose(c) + ITP(c) --> Fructose-6P(c) + IDP(c)	EC:2.7.1.1	-28.03		 	PMID:16906315 PMID:7061426 PMID:7150652 PMID:8717435
r0358	HC00097_c + HC00129_c --> HC00088_c + HC00192_c	Fructose(c) + dATP(c) --> Fructose-6P(c) + dADP(c)	EC:2.7.1.1	-28.03		 	PMID:16906315 PMID:7061426 PMID:7150652 PMID:8717435
r0359	HC00154_c + HC00012_c --> HC00246_c + HC00018_c	Mannose(c) + ATP(c) --> Mannose-6P(c) + ADP(c)	EC:2.7.1.1	-28.03		 HEX4	PMID:16906315 PMID:7061426 PMID:7150652 PMID:8717435
r0360	HC00154_c + HC00084_c --> HC00246_c + HC00104_c	Mannose(c) + ITP(c) --> Mannose-6P(c) + IDP(c)	EC:2.7.1.1	-28.03		 	PMID:16906315 PMID:7061426 PMID:7150652 PMID:8717435
r0361	HC00154_c + HC00129_c --> HC00246_c + HC00192_c	Mannose(c) + dATP(c) --> Mannose-6P(c) + dADP(c)	EC:2.7.1.1	-28.03		 	PMID:16906315 PMID:7061426 PMID:7150652 PMID:8717435
r0362	HC00279_c + HC00012_c --> HC00298_c + HC00018_c	Glucosamine(c) + ATP(c) --> Glucosamine-6P(c) + ADP(c)	EC:2.7.1.1	-28.03		 HEX10	PMID:16906315 PMID:7061426 PMID:7150652 PMID:8717435
r0363	HC00279_c + HC00084_c --> HC00298_c + HC00104_c	Glucosamine(c) + ITP(c) --> Glucosamine-6P(c) + IDP(c)	EC:2.7.1.1	-28.03		 	PMID:16906315 PMID:7061426 PMID:7150652 PMID:8717435
r0364	HC00279_c + HC00129_c --> HC00298_c + HC00192_c	Glucosamine(c) + dATP(c) --> Glucosamine-6P(c) + dADP(c)	EC:2.7.1.1	-28.03		 	PMID:16906315 PMID:7061426 PMID:7150652 PMID:8717435
r0365	HC00625_m + HC00013_m --> HC00014_m + HC00203_m	Hydracrylate(m) + NAD+(m) --> NADH(m) + 3-Oxopropanoate(m)	EC:1.1.1.59	21.8551	R01608	 	PMID:13672942
r0366	HC00207_c + HC00011_c --> HC00681_c + HC01161_c	ACP(c) + H2O(c) --> Phosphopantetheine(c) + Apo-ACP(c)	EC:3.1.4.14		R01623	 	PMID:220505 PMID:5671058
r0367	HC00033_c + HC00207_c <=> HC00020_c + HC01204_c	Acetyl-CoA(c) + ACP(c) <=> CoA(c) + Acetyl-ACP(c)	EC:2.3.1.85	0	R01624	 ACOATA	PMID:11750882 PMID:4452359 PMID:6137188 PMID:7567999 PMID:7834997 PMID:8962082
r0368	HC00020_c + HC01161_c --> HC00059_c + HC00207_c	CoA(c) + Apo-ACP(c) --> PAP(c) + ACP(c)	EC:2.7.8.7		R01625	 	PMID:12815048 PMID:4561013
r0369	HC00207_c + HC00086_c <=> HC00020_c + HC00717_c	ACP(c) + Malonyl-CoA(c) <=> CoA(c) + Malonyl-ACP(c)	EC:2.3.1.85	0	R01626	 MCOATA	PMID:11750882 PMID:12882974 PMID:4452359 PMID:6137188 PMID:7567999 PMID:7834997 PMID:8962082
r0370	HC01436_c + HC00116_c <=> HC00115_c + HC00209_c	Sedoheptulose-7P(c) + GAP(c) <=> Ribose-5P(c) + D-Xylulose-5P(c)	EC:2.2.1.1	-8.70854	R01641	 -TKT1	PMID:13385248 PMID:2495942 UNIPROT:P29401
r0371	HC00360_c + HC00011_c <=> HC00212_c	5,10-Methenyl-THF(c) + H2O(c) <=> 10-Formyl-THF(c)	EC:3.5.4.9	-2.56651	R01655	 MTHFC	PMID:12937168 PMID:16171773 PMID:3053686
r0372	HC00360_m + HC00011_m <-- HC00212_m	5,10-Methenyl-THF(m) + H2O(m) <-- 10-Formyl-THF(m)	EC:3.5.4.9	-2.56651	R01655	 MTHFCm	PMID:12937168 PMID:16171773 PMID:3053686
r0373	HC00213_p + HC00127_p <=> HC00023_p + HC00288_p	Dimethylallyl-PP(p) + Isopentenyl-PP(p) <=> PPi(p) + Geranyl-PP(p)	EC:2.5.1.1	-54.4284	R01658	 DMATTx	PMID:11108725 PMID:12121718 PMID:17180682 PMID:7295734 PMID:8119922 PMID:8188698
r0374	HC00217_c + HC00011_c <=> HC00309_c + HC00024_c	dCMP(c) + H2O(c) <=> dUMP(c) + NH3(c)	EC:3.5.4.12	-21.5327	R01663	 DCMPDA	PMID:8448179
r0375	HC00217_c + HC00011_c --> HC00574_c + HC00019_c	dCMP(c) + H2O(c) --> Deoxycytidine(c) + Pi(c)	EC:3.1.3.5	-9.70082	R01664	 NTD3	PMID:11690631 PMID:17405878 PMID:6284244 PMID:7999131 UNIPROT:Q96P26
